               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.040071,            0.009753,           0.0046513,             0.81836,                   1,             0.96517,             0.62612,            0.033344,           0.0051695,             0.00358,            0.008614,            0.008614,            0.008614
                  72,            0.037403,           0.0086919,           0.0047756,             0.98619,                   1,               0.995,             0.56739,            0.028841,           0.0050363,           0.0035973,           0.0085942,           0.0085942,           0.0085942
                  73,            0.041543,            0.012935,           0.0065646,             0.85697,                   1,             0.98808,             0.57755,            0.038367,            0.005297,           0.0036327,           0.0085744,           0.0085744,           0.0085744
                  74,            0.041113,            0.013101,           0.0053115,             0.95829,             0.99502,             0.99269,             0.57931,            0.034647,           0.0048336,           0.0037956,           0.0085546,           0.0085546,           0.0085546
                  75,            0.040944,           0.0087904,           0.0048234,             0.87646,             0.99136,             0.97645,             0.55168,            0.030392,           0.0050444,           0.0037475,           0.0085348,           0.0085348,           0.0085348
                  76,            0.040307,            0.010859,           0.0050985,             0.99338,                   1,               0.995,             0.68819,            0.028096,           0.0047996,            0.003708,            0.008515,            0.008515,            0.008515
                  77,            0.031625,           0.0091007,           0.0042981,             0.90939,             0.97988,             0.97953,             0.52957,            0.033916,           0.0051478,           0.0038137,           0.0084952,           0.0084952,           0.0084952
                  78,            0.038841,           0.0090487,           0.0047208,             0.99605,                   1,               0.995,              0.6278,            0.025782,           0.0047561,            0.003776,           0.0084754,           0.0084754,           0.0084754
                  79,            0.037705,            0.012657,           0.0049292,             0.79392,             0.95871,             0.92945,             0.45664,            0.039108,           0.0050447,           0.0036733,           0.0084556,           0.0084556,           0.0084556
                  80,            0.041435,            0.010108,           0.0051623,              0.9461,              0.9997,             0.99352,             0.69721,            0.031694,           0.0047431,           0.0037267,           0.0084358,           0.0084358,           0.0084358
                  81,            0.038197,            0.011051,           0.0048261,             0.76908,                0.98,             0.96054,              0.6075,            0.033316,           0.0048805,           0.0038798,            0.008416,            0.008416,            0.008416
                  82,            0.034277,           0.0091568,            0.005039,             0.95565,                   1,             0.99269,             0.68094,            0.028513,           0.0044943,             0.00382,           0.0083962,           0.0083962,           0.0083962
                  83,            0.033408,           0.0079256,           0.0049545,             0.94232,             0.97525,             0.99198,              0.5089,            0.031284,           0.0047152,            0.003802,           0.0083764,           0.0083764,           0.0083764
